genres,imdb_id,title,vote_average
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",tt0110478,Maverick,6.6
"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",tt0110622,The Naked Gun 33⅓: The Final Insult,6.4
"[{'id': 18, 'name': 'Drama'}]",tt0110950,Reality Bites,6.5
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0105226,Red Rock West,6.4
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt0110997,The River Wild,6.1
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0111693,When a Man Loves a Woman,6.0
"[{'id': 14, 'name': 'Fantasy'}]",tt0111742,Wolf,6.0
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0110455,A Man of No Importance,6.5
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",tt0111301,Street Fighter,4.1
"[{'id': 35, 'name': 'Comedy'}]",tt0114047,Open Season,0.0
"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",tt0110027,Highlander: The Final Dimension,4.5
"[{'id': 18, 'name': 'Drama'}]",tt0109305,Blue Chips,5.7
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt0106489,A Bronx Tale,7.4
"[{'id': 35, 'name': 'Comedy'}]",tt0109361,Cabin Boy,4.9
"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",tt0109443,Clean Slate,5.7
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0109783,The Favor,3.3
"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",tt0106965,Free Willy,6.0
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0110074,The Hudsucker Proxy,7.1
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",tt0107286,Judgment Night,6.4
"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",tt0107302,Kalifornia,6.5
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0110265,Killing Zoe,6.1
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt0107497,Malice,5.9
"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0110678,No Escape,6.1
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",tt0107756,Orlando,6.7
"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0111003,The Puppet Masters,5.6
"[{'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",tt0110971,Renaissance Man,5.9
"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0107969,Rising Sun,5.8
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0107983,Romeo Is Bleeding,5.7
"[{'id': 18, 'name': 'Drama'}]",tt0108002,Rudy,7.2
"[{'id': 18, 'name': 'Drama'}]",tt0108065,Searching for Bobby Fischer,7.3
"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",tt0111127,Serial Mom,6.4
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",tt0111194,A Simple Twist of Fate,5.7
"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",tt0108255,Super Mario Bros.,4.0
"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",tt0108328,Thirty Two Short Films About Glenn Gould,7.4
"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",tt0107688,The Nightmare Before Christmas,7.6
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}]",tt0108358,Tombstone,7.4
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",tt0108399,True Romance,7.5
"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}]",tt0108515,The War Room,7.3
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0107002,Germinal,6.3
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0109403,Chasers,4.7
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0107315,Kika,6.8
"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",tt0107225,"Ciao, Professore!",7.2
"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}]",tt0112651,The Celluloid Closet,7.0
"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",tt0103639,Aladdin,7.4
"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",tt0099348,Dances with Wolves,7.6
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0102926,The Silence of the Lambs,8.1
"[{'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",tt0101414,Beauty and the Beast,7.5
"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",tt0032910,Pinocchio,6.9
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",tt0100405,Pretty Woman,7.0
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",tt0065421,The Aristocats,7.1
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0118001,Two Much,5.1
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt0117381,Primal Fear,7.4
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0115837,Carried Away,5.4
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0116275,A Family Thing,5.6
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt0117060,Mission: Impossible,6.7
"[{'id': 18, 'name': 'Drama'}]",tt0082206,Coup de Torchon,6.8
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt0114048,Operation Dumbo Drop,4.7
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0111613,The Promise,5.0
"[{'id': 18, 'name': 'Drama'}]",tt0062952,Faces,7.1
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt0117107,Mulholland Falls,6.2
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",tt0109374,Captives,6.0
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0116827,Last Dance,5.6
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt0116508,Heaven's Prisoners,5.0
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",tt0117998,Twister,6.1
"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",tt0103926,Careful,7.8
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",tt0116629,Independence Day,6.7
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0117737,Stealing Beauty,6.6
"[{'id': 35, 'name': 'Comedy'}]",tt0116778,Kingpin,6.7
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",tt0117218,The Nutty Professor,5.4
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",tt0116040,Daylight,5.8
"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",tt0117333,Phenomenon,6.2
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0118113,Walking and Talking,6.6
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0117913,A Time to Kill,7.0
"[{'id': 18, 'name': 'Drama'}]",tt0115530,American Buffalo,6.2
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",tt0116320,Fled,5.2
"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",tt0110246,Kaspar Hauser,6.3
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt0117438,Ransom,6.4
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",tt0117008,Matilda,6.9
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt0068646,The Godfather,8.5
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",tt0115736,Bound,6.9
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",tt0110693,Nothing to Lose,0.0
"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",tt0045152,Singin' in the Rain,7.9
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0025316,It Happened One Night,7.7
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0053604,The Apartment,8.1
"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt0033870,The Maltese Falcon,7.8
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0046250,Roman Holiday,7.8
"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",tt0037059,Meet Me in St. Louis,6.8
"[{'id': 18, 'name': 'Drama'}]",tt0043014,Sunset Boulevard,8.2
"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",tt0032484,Foreign Correspondent,7.0
"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0038787,Notorious,7.8
"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",tt0051658,Gigi,6.1
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",tt0029843,The Adventures of Robin Hood,7.6
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0032599,His Girl Friday,7.5
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0031679,Mr. Smith Goes to Washington,7.9
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0029947,Bringing Up Baby,7.6
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",tt0027893,Little Lord Fauntleroy,6.6
"[{'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",tt0039152,Angel and the Badman,6.6
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0046414,Beat the Devil,6.2
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0051459,Cat on a Hot Tin Roof,7.6
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0048491,Picnic,6.7
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0117039,Michael Collins,6.8
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0117473,The Rich Man's Wife,4.9
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0116421,The Glimmer Man,4.7
"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",tt0050798,Old Yeller,7.0
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt0055277,The Parent Trap,6.8
"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",tt0038166,The Three Caballeros,6.2
"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt0076538,Pete's Dragon,6.4
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt0095016,Die Hard,7.5
"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0116242,Everyone Says I Love You,6.5
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0115600,Bitter Sugar,6.3
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0117802,Swingers,6.8
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0117665,Sleepers,7.3
"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0044863,Macao,5.6
"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",tt0067992,Willy Wonka & the Chocolate Factory,7.4
"[{'id': 27, 'name': 'Horror'}]",tt0055018,The Innocents,7.5
"[{'id': 35, 'name': 'Comedy'}]",tt0066808,Bananas,6.7
"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",tt0059243,The Great Race,7.2
"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",tt0091763,Platoon,7.5
"[{'id': 35, 'name': 'Comedy'}]",tt0098627,Weekend at Bernie's,6.4
"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",tt0101761,The Doors,6.7
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",tt0029992,A Christmas Carol,7.0
"[{'id': 99, 'name': 'Documentary'}]",tt0117040,Microcosmos,7.7
"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",tt2250194,The Sleepover,8.0
"[{'id': 18, 'name': 'Drama'}]",tt0117318,The People vs. Larry Flynt,6.8
"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",tt0072081,The Return of the Pink Panther,6.7
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",tt0082340,Escape from New York,6.9
"[{'id': 18, 'name': 'Drama'}]",tt0091288,Jean de Florette,7.6
"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",tt0109781,Faust,7.4
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",tt0078875,The Tin Drum,7.0
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt0110521,Mina Tannenbaum,4.8
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0101765,The Double Life of Veronique,7.3
"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",tt0050825,Paths of Glory,8.2
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",tt0116209,The English Patient,7.0
"[{'id': 18, 'name': 'Drama'}]",tt0073486,One Flew Over the Cuckoo's Nest,8.3
"[{'id': 37, 'name': 'Western'}]",tt0060196,"The Good, the Bad and the Ugly",8.1
